gene,tumor_r,normal_r,delta_r
DBNL,0.3988,0.0923,0.3065
ING3,0.1006,-0.2058,0.3064
KHSRP,0.4154,0.1091,0.3063
WNK4,-0.0488,-0.3547,0.3059
PRKAR2A,0.1255,-0.1801,0.3056
FAM83F,0.6089,0.3035,0.3054
PTK2,0.3394,0.0345,0.30489999999999995
CLOCK,0.3164,0.0116,0.3048
KCTD18,0.3669,0.0623,0.3046
ARPC5L,0.1989,-0.1055,0.3044
ELMO2,0.1445,-0.1596,0.3041
LIMD1,0.2923,-0.0118,0.3041
BLOC1S4,0.1306,-0.1732,0.30379999999999996
PACSIN3,0.4281,0.1244,0.30369999999999997
H1-10,0.0031,-0.2999,0.303
NFYA,0.1909,-0.1121,0.303
FGD2,0.5116,0.2089,0.3027000000000001
RBM6,-0.0328,-0.3353,0.3025
MDC1,0.7355,0.4336,0.30190000000000006
TSR2,0.4324,0.1305,0.3019
ZNF7,0.2593,-0.0424,0.30169999999999997
NLRC4,0.4304,0.1291,0.3013
CCDC57,0.408,0.1071,0.30089999999999995
ROPN1L,0.8113,0.511,0.3003
IL18,0.674,0.374,0.30000000000000004
RPP25L,-0.0062,-0.3058,0.29960000000000003
TAF11,0.0255,-0.2741,0.29960000000000003
OSGEPL1,0.3853,0.0859,0.2994
WIZ,-0.1163,-0.4154,0.2991
RWDD2B,0.5162,0.2172,0.299
CDAN1,0.4089,0.1102,0.29869999999999997
TMEM135,0.3836,0.0851,0.2985
RNGTT,0.4484,0.15,0.2984
ZNF76,-0.0247,-0.323,0.2983
HK1,0.5686,0.2706,0.298
MYO18A,0.7112,0.4134,0.29780000000000006
PPM1A,0.31,0.0125,0.2975
TFAP2C,0.2716,-0.0258,0.2974
GNG11,0.5165,0.2195,0.29699999999999993
KXD1,0.0436,-0.2531,0.29669999999999996
EMSY,0.4782,0.1816,0.2966
ARL5B,0.5856,0.2891,0.2965
TFAP4,0.6266,0.3302,0.29640000000000005
STK11IP,0.2575,-0.0387,0.2962
TPD52L2,0.4589,0.1627,0.29619999999999996
TBC1D8,0.6482,0.3526,0.2956
ROCK1,0.2621,-0.0334,0.2955
TATDN1,0.4895,0.194,0.2955
HEBP2,0.4642,0.1689,0.2953
PCYOX1,0.4436,0.1486,0.295
RCCD1,0.015,-0.279,0.29400000000000004
DNAJA2,0.3653,0.0715,0.2938
KIF26B,0.3652,0.0719,0.2933
TRAPPC5,0.1646,-0.1286,0.2932
SAV1,0.4419,0.1493,0.2926
COQ10B,0.2217,-0.0701,0.2918
FAM3A,0.2489,-0.0427,0.2916
PPP2CB,0.5109,0.2203,0.2906
CILK1,0.1653,-0.1253,0.29059999999999997
RAB8B,0.4549,0.1646,0.2903
ANXA13,0.5213,0.2315,0.28979999999999995
PGLYRP2,0.0633,-0.2263,0.28959999999999997
FTL,0.333,0.0441,0.28890000000000005
CST6,0.47,0.1813,0.28869999999999996
UBXN6,0.0272,-0.261,0.2882
ARHGEF12,0.3382,0.0503,0.2879
MTMR6,0.2581,-0.0292,0.2873
PPP2R2A,0.2142,-0.073,0.2872
UBE2B,0.0999,-0.1872,0.2871
BLOC1S1,0.0121,-0.2748,0.2869
ING4,0.3105,0.0236,0.2869
ARL5A,-0.111,-0.3974,0.2864
IRGQ,0.5742,0.288,0.28620000000000007
DYNC1I1,0.0809,-0.205,0.2859
PTPRS,0.3773,0.0923,0.28500000000000003
VPS29,0.1716,-0.1133,0.2849
FEM1B,0.0619,-0.2229,0.2848
CCDC28A,0.4514,0.1669,0.28450000000000003
ALKBH6,0.1415,-0.1429,0.2844
PABPC3,0.0307,-0.2535,0.2842
CAMK2G,0.1685,-0.1156,0.2841
NEURL4,0.0431,-0.2408,0.2839
UBE2F,-0.0201,-0.304,0.2839
TRAPPC2L,0.2745,-0.0091,0.2836
TTC31,0.3653,0.0818,0.28350000000000003
SCAI,0.2232,-0.0603,0.28350000000000003
CAMK1,0.5907,0.3076,0.2831
RIN2,0.4787,0.1957,0.28300000000000003
ARMC4,0.4993,0.2165,0.28280000000000005
ARL8B,0.1746,-0.108,0.2826
VPS26A,0.5002,0.2176,0.28259999999999996
NUBPL,0.3446,0.0621,0.28250000000000003
PLIN3,0.6118,0.3294,0.2824
SNX6,0.1021,-0.1802,0.2823
MTRR,0.4174,0.1351,0.2823
PPHLN1,0.3174,0.0352,0.2822
PPP4R1,0.4885,0.2072,0.2813
TBC1D30,0.4831,0.203,0.28009999999999996
LAMC1,0.3846,0.1052,0.2794
LAMP1,0.6206,0.3416,0.279
APOC1,0.0672,-0.2118,0.27899999999999997
ANKDD1A,0.1753,-0.1036,0.27890000000000004
CEP83,0.5864,0.3077,0.27870000000000006
KHDRBS1,0.3907,0.1124,0.2783
CKB,0.7338,0.4555,0.2783
PCSK6,0.5312,0.253,0.2782
NAGPA,0.3883,0.1103,0.27799999999999997
DDHD2,0.5668,0.2893,0.27749999999999997
PAN3,0.2482,-0.0292,0.2774
MEA1,0.3707,0.0934,0.2773
CBLC,0.3025,0.0254,0.2771
AMER1,0.3736,0.0966,0.27699999999999997
AKAP9,0.4404,0.1636,0.27680000000000005
BTN3A1,0.2443,-0.0325,0.2768
NUDT8,0.4371,0.1604,0.2767
LMAN2L,0.3546,0.0781,0.2765
KIFC3,0.6172,0.3409,0.2763
SYTL3,0.3709,0.0948,0.2761
SMYD5,0.4343,0.1582,0.2761
PER2,0.1495,-0.1264,0.27590000000000003
INO80C,0.2953,0.02,0.2753
SPACA9,0.6351,0.3598,0.2753
DAZAP1,0.2651,-0.01,0.2751
HPS5,0.314,0.0392,0.2748
DDA1,0.0377,-0.237,0.2747
AGO1,-0.3823,-0.6569,0.27460000000000007
FLT1,0.6019,0.3273,0.2746
SLC12A8,0.4291,0.1545,0.27459999999999996
SH3GLB2,0.3395,0.0654,0.2741
VEZF1,0.2839,0.0102,0.2737
OSBPL7,0.1705,-0.1031,0.2736
PCMT1,0.0358,-0.2366,0.2724
ILF3,0.4336,0.1613,0.2723
USP20,0.1454,-0.1266,0.272
GNAZ,0.4541,0.1821,0.272
PYGB,0.5484,0.2765,0.2719
CAMP,0.2512,-0.0205,0.2717
DMXL2,0.4893,0.2178,0.2715
DMAP1,0.4258,0.1544,0.2714
CABLES1,0.5864,0.3152,0.27120000000000005
IGKV1D-16,0.2264,-0.0447,0.2711
FCHSD1,0.3331,0.0621,0.271
EFHC1,0.7391,0.4682,0.2709
SFR1,0.1872,-0.0836,0.2708
SGMS1,0.5453,0.2745,0.2708
ZNF628,0.1031,-0.1676,0.2707
MPI,0.3925,0.1219,0.2706
SERPINB6,0.628,0.3581,0.26990000000000003
FAM98B,0.3336,0.0641,0.2695
UGP2,0.5381,0.2686,0.2695
CDS2,0.1817,-0.0875,0.2692
STK24,0.3001,0.0309,0.2692
SAMD9L,0.6759,0.4069,0.26899999999999996
DALRD3,0.4187,0.1501,0.2686
TMA7,0.1862,-0.0821,0.2683
RPS6KB1,0.4,0.1318,0.2682
NUP42,0.1424,-0.1253,0.2677
STK36,0.3581,0.0905,0.26759999999999995
DPH5,0.4102,0.1431,0.2671
DVL1,0.075,-0.1918,0.2668
ZFAND2B,0.3658,0.0992,0.2666
MDP1,0.4783,0.2121,0.2662
PCBP1,0.4488,0.1827,0.2661
ARMH3,0.5923,0.3266,0.26570000000000005
TRIM38,0.4455,0.1798,0.26570000000000005
PDZRN3,0.6276,0.362,0.26560000000000006
NAV2,0.7117,0.4462,0.2655
CRK,0.0993,-0.1662,0.26549999999999996
HMMR,0.7507,0.4853,0.2654
CBR1,0.5538,0.2884,0.26539999999999997
APOA1,0.1369,-0.1285,0.26539999999999997
SLC25A14,0.2162,-0.0491,0.2653
SIN3B,0.4057,0.1405,0.2652
DUSP19,0.4364,0.1714,0.265
SASH1,0.7184,0.4537,0.26470000000000005
RPE,0.2708,0.0069,0.26389999999999997
HNRNPA3,0.4405,0.1767,0.26380000000000003
ALDH1A3,0.8563,0.5926,0.26369999999999993
PPFIA3,0.2697,0.0061,0.2636
RGL2,0.3027,0.0392,0.2635
LSAMP,0.5894,0.326,0.2634
DSTN,0.5065,0.2432,0.2633
BPGM,0.2969,0.0336,0.2633
ZNF33A,0.4359,0.1727,0.2632
AMDHD2,-0.1274,-0.3905,0.2631
NDE1,0.5232,0.2602,0.263
RERE,0.4667,0.2037,0.263
ODF2,0.2663,0.0033,0.26299999999999996
TMEM189,0.5074,0.2446,0.2627999999999999
