gene,tumor_r,normal_r,delta_r
LRRC8C,0.437,0.319,0.118
USP32,0.1107,-0.0072,0.1179
MRPS10,0.2099,0.0922,0.1177
B9D2,0.1535,0.036,0.1175
WDR62,0.1423,0.025,0.11730000000000002
LONP2,0.3387,0.2214,0.11729999999999999
VEGFA,0.5671,0.45,0.11710000000000004
PPP1R10,0.3135,0.1964,0.11710000000000001
TRMT2B,0.2068,0.0898,0.117
EPM2AIP1,0.3312,0.2145,0.1167
MICU1,0.1161,-0.0004,0.11649999999999999
MRPL49,0.1428,0.0265,0.11630000000000001
MRPL4,0.0481,-0.0682,0.11629999999999999
WDR11,0.3192,0.2029,0.11629999999999999
DAAM2,0.2806,0.1647,0.1159
PWWP2B,0.3547,0.239,0.11570000000000003
UQCRFS1,0.2821,0.1665,0.11560000000000001
SEMA7A,0.2945,0.1791,0.11539999999999997
SPN,0.7134,0.5981,0.11530000000000007
KLHL42,0.1786,0.0633,0.11530000000000001
MT-ND1,-0.1719,-0.2868,0.1149
ARHGEF1,0.529,0.4143,0.11470000000000002
COL6A3,0.5485,0.4338,0.11469999999999997
NDUFS5,-0.1113,-0.2258,0.1145
TEP1,0.2679,0.1537,0.11420000000000002
PLAC9,0.508,0.3939,0.11410000000000003
NAA10,0.0823,-0.0318,0.11410000000000001
ZNHIT1,0.1936,0.0795,0.1141
OLFML2B,0.5727,0.4588,0.1139
PLCE1,0.2722,0.1586,0.1136
LMNB1,0.232,0.1185,0.11350000000000002
KDR,0.2802,0.1668,0.1134
ZBED8,0.4188,0.3055,0.11330000000000001
SNX11,0.202,0.0887,0.11330000000000001
ABT1,0.1049,-0.0084,0.1133
PSMC6,0.3591,0.2458,0.11329999999999998
MRPS22,0.018,-0.0951,0.1131
NPDC1,0.283,0.1699,0.11309999999999998
CCT4,0.3237,0.2107,0.11299999999999999
ADAMTS4,0.623,0.5105,0.11250000000000004
NCAPD2,0.3154,0.2031,0.11230000000000001
HSF4,0.4123,0.3,0.11230000000000001
PADI3,0.5501,0.4378,0.11230000000000001
LAMTOR2,0.1031,-0.0091,0.1122
SLC11A2,0.2658,0.1536,0.1122
PARS2,0.2887,0.1766,0.1121
SCARF2,0.5284,0.4163,0.11209999999999998
SCG2,0.1355,0.0239,0.1116
ARID3A,0.0563,-0.0552,0.1115
RSAD1,0.1181,0.0066,0.1115
TNFSF13B,-0.0796,-0.191,0.1114
COMTD1,0.314,0.2026,0.1114
CLEC3B,0.3182,0.2069,0.11129999999999998
SFRP2,0.8044,0.6932,0.11119999999999997
NDUFS2,-0.061,-0.1721,0.1111
CARNMT1,0.4987,0.3876,0.11109999999999998
SLC2A6,0.5178,0.4068,0.11100000000000004
MT-ND5,0.0722,-0.0387,0.1109
SLC35F6,0.3676,0.2567,0.1109
CAMK2G,0.5471,0.4363,0.11080000000000001
MRPS26,0.4667,0.356,0.11070000000000002
PGK2,-0.1787,-0.2893,0.1106
KCNAB1,0.2131,0.1027,0.11040000000000001
FHIT,0.4919,0.3815,0.1104
ACTN2,0.0606,-0.0497,0.11030000000000001
RNF166,0.1282,0.0179,0.11030000000000001
RNPC3,0.0214,-0.0888,0.1102
QRSL1,0.4783,0.3682,0.11009999999999998
ISG20L2,0.0887,-0.0213,0.11
FASTKD2,0.347,0.237,0.10999999999999999
SPATA13,0.0084,-0.1011,0.1095
TAGLN3,0.2476,0.1381,0.10949999999999999
TMEM62,0.4416,0.3322,0.1094
TENM4,0.5989,0.4895,0.1094
PTPRO,0.1824,0.0733,0.1091
CNNM4,0.2852,0.1761,0.1091
PFDN5,0.2998,0.1908,0.10900000000000001
TDRKH,0.2836,0.1746,0.10900000000000001
TFB2M,0.4377,0.3287,0.10899999999999999
TM2D3,-0.0957,-0.2046,0.10890000000000001
MARCHF6,0.105,-0.0039,0.1089
BEND3,0.2699,0.161,0.10889999999999997
COMMD3,0.1867,0.0779,0.10880000000000001
RAB38,0.5427,0.4341,0.10859999999999997
TBCK,0.3319,0.2233,0.10859999999999997
MTERF1,-0.0041,-0.1125,0.1084
TTC37,0.2129,0.1046,0.10830000000000001
NPM3,0.4756,0.3675,0.10810000000000003
CCNL1,-0.005,-0.113,0.108
EBF1,0.6044,0.4965,0.10790000000000005
IFT46,0.166,0.0585,0.10750000000000001
DPM3,0.1214,0.0139,0.1075
CACNA2D2,0.4739,0.3664,0.10749999999999998
SNAPC3,0.2867,0.1794,0.1073
AARS2,0.5714,0.4642,0.10720000000000002
PLD2,0.3069,0.1997,0.10720000000000002
USP22,0.0262,-0.0809,0.1071
THAP4,0.272,0.165,0.10700000000000001
KIF11,-0.049,-0.156,0.107
SEMA4C,0.5433,0.4363,0.10699999999999998
ESM1,0.6965,0.5896,0.1069
NAT9,0.1753,0.0685,0.1068
REV3L,0.2067,0.0999,0.10679999999999999
RWDD3,0.2125,0.1058,0.10669999999999999
SPINDOC,0.3237,0.217,0.10669999999999999
HECTD4,0.2517,0.145,0.10669999999999999
UQCC1,0.3964,0.2897,0.10669999999999996
SSBP3,0.5574,0.4508,0.10660000000000003
PLPP6,0.0486,-0.058,0.1066
HSD11B2,0.3515,0.2449,0.10659999999999997
PGGHG,0.1594,0.0529,0.10649999999999998
TCP1,0.5777,0.4713,0.1064
CEMIP2,0.5273,0.4212,0.10609999999999997
APTX,0.328,0.222,0.10600000000000001
MT-ATP6,0.1945,0.0885,0.10600000000000001
FASTK,0.1225,0.0165,0.106
CYB5B,0.3887,0.2827,0.10599999999999998
TMEM9,0.3345,0.2287,0.10580000000000003
CD177,0.3426,0.2369,0.10570000000000002
LHFPL2,0.2616,0.1559,0.10569999999999999
ADD2,0.1001,-0.0055,0.1056
FAM102B,0.1853,0.0797,0.1056
POLR3D,0.0937,-0.0118,0.10550000000000001
CEP89,0.1587,0.0533,0.10540000000000001
AURKA,-0.4571,-0.5624,0.1053
TRNT1,0.6643,0.559,0.10529999999999995
DOLPP1,0.1385,0.0333,0.10520000000000002
DTNB,0.2086,0.1034,0.1052
SUCLG1,0.232,0.1269,0.1051
CNKSR1,0.1986,0.0936,0.105
R3HDM2,0.22,0.1152,0.1048
UXS1,0.3168,0.2121,0.10470000000000002
SLC31A1,0.3248,0.2201,0.10469999999999999
KIFC1,0.0589,-0.0457,0.1046
ATP5MG,0.0962,-0.0084,0.1046
GANAB,0.0962,-0.0084,0.1046
CHM,0.407,0.3024,0.10459999999999997
CTDSPL,0.2403,0.1358,0.10450000000000001
E2F3,0.2688,0.1643,0.10449999999999998
ITPKC,0.3302,0.2259,0.1043
BGN,0.5914,0.4872,0.10420000000000001
LSM6,-0.0744,-0.1785,0.1041
ATPAF1,0.3461,0.2421,0.10400000000000001
MT-ATP8,0.0056,-0.0984,0.104
PI4KA,0.1848,0.0809,0.10389999999999999
NDUFAF1,0.2468,0.1429,0.10389999999999999
OSBPL9,0.1831,0.0794,0.10370000000000001
TNFRSF10B,0.0292,-0.0744,0.1036
RPL38,0.1732,0.0696,0.1036
VPS37D,0.6209,0.5175,0.10340000000000005
MTERF4,0.2378,0.1345,0.1033
ZFYVE28,-0.2001,-0.3032,0.10310000000000002
DAPK3,0.0479,-0.0552,0.1031
MRPL55,0.2687,0.1656,0.1031
GMCL1,-0.0736,-0.1766,0.10300000000000001
TMC6,-0.0765,-0.1794,0.1029
SLC35A1,0.2674,0.1646,0.10280000000000003
SNAPIN,0.2019,0.0992,0.1027
PDLIM2,0.4574,0.3547,0.10269999999999996
GPD2,0.4819,0.3794,0.10249999999999998
TECPR1,0.2471,0.1447,0.10239999999999999
MYRF,0.3514,0.249,0.10239999999999999
NKTR,0.0152,-0.0871,0.1023
MRPS33,0.1926,0.0903,0.10229999999999999
NUP210,0.5792,0.477,0.10220000000000007
NIPAL3,0.4393,0.3372,0.10210000000000002
TMEM43,0.5454,0.4433,0.10209999999999997
UBTD2,0.245,0.143,0.10200000000000001
OMA1,0.3848,0.2828,0.10199999999999998
CYP4X1,0.3187,0.2168,0.10189999999999999
ARF6,0.3029,0.201,0.10189999999999999
TTC13,0.04,-0.0619,0.10189999999999999
MBOAT1,0.3072,0.2053,0.10189999999999996
PFDN6,0.2489,0.1471,0.1018
CCT7,0.131,0.0293,0.10170000000000001
FADS3,0.3624,0.2608,0.10160000000000002
MEST,0.3555,0.2539,0.10159999999999997
EIF4EBP3,0.3248,0.2233,0.10149999999999998
SMTN,0.4297,0.3283,0.10140000000000005
MEA1,0.182,0.0806,0.10139999999999999
REEP4,0.4423,0.341,0.1013
DUS2,0.4328,0.3315,0.1013
ZYG11B,0.1533,0.052,0.1013
SLC7A9,0.5147,0.4135,0.10120000000000007
CLEC11A,0.4343,0.3332,0.10110000000000002
FCGR2A,0.3374,0.2363,0.10109999999999997
INTU,0.031,-0.07,0.101
POLD4,0.107,0.0061,0.1009
AHSP,0.2977,0.197,0.10070000000000001
MTO1,0.3855,0.2848,0.10070000000000001
MRPS15,0.1855,0.0848,0.1007
MRPS18A,0.1728,0.0722,0.10060000000000001
SLIRP,0.108,0.0074,0.1006
DMAC1,0.2481,0.1477,0.10039999999999999
APOA5,-0.0624,-0.1624,0.09999999999999999
GYS2,0.297,0.1972,0.0998
TOP2A,0.4924,0.3928,0.09960000000000002
SLC34A1,0.1932,0.0936,0.09960000000000001
DIPK1A,0.2759,0.1763,0.09959999999999997
TENT4B,0.2337,0.1342,0.09949999999999998
COPRS,0.3285,0.2292,0.09930000000000003
COMMD10,0.0829,-0.0164,0.0993
TNFRSF6B,0.6557,0.5565,0.09919999999999995
TJP3,0.1638,0.0647,0.09910000000000001
RPF2,0.1362,0.0371,0.0991
IL10RB,0.0907,-0.0083,0.099
RINT1,0.1577,0.0587,0.099
TANK,0.5041,0.4053,0.0988
TSR3,0.2453,0.1465,0.0988
CAB39L,0.4693,0.3705,0.0988
NDUFAF7,0.2908,0.192,0.0988
RIOX1,0.2658,0.167,0.09879999999999997
AGAP2,0.3381,0.2394,0.09870000000000001
CROT,0.5631,0.4649,0.09820000000000007
TAGAP,0.2441,0.1459,0.09820000000000001
MMP19,0.5116,0.4135,0.09810000000000008
ABCA2,0.3345,0.2364,0.09810000000000002
NAB2,0.4506,0.3525,0.09810000000000002
F5,0.294,0.1959,0.09809999999999999
HAPLN3,0.4207,0.3227,0.09800000000000003
GAPDHS,-0.1812,-0.2792,0.098
ALKBH3,0.3167,0.2187,0.09799999999999998
WASF3,0.5011,0.4031,0.09799999999999998
PCDH12,0.5108,0.4129,0.09790000000000004
FAM126B,0.2436,0.1457,0.09790000000000001
GZMM,0.5055,0.4076,0.09789999999999993
DAG1,0.1831,0.0853,0.09780000000000001
HSPA8,0.4134,0.3156,0.0978
ETFB,0.4214,0.3236,0.0978
PLCD4,0.4063,0.3086,0.09770000000000001
CNTN1,0.4482,0.3505,0.09770000000000001
CARMIL2,0.5473,0.4496,0.09770000000000001
DENND6A,0.1578,0.0601,0.0977
CBX2,0.6665,0.5689,0.09760000000000002
VPS33A,0.2917,0.1941,0.09760000000000002
PEX11B,0.3012,0.2036,0.09760000000000002
IGHV3OR16-13,0.0376,-0.06,0.09759999999999999
IMMT,0.285,0.1874,0.09759999999999996
ALS2,0.3759,0.2784,0.09750000000000003
ABCB8,0.5005,0.4031,0.09739999999999993
C15orf39,-0.0914,-0.1887,0.09730000000000001
MRPS36,0.3356,0.2383,0.0973
ITM2B,0.42,0.3227,0.0973
GPATCH4,0.1246,0.0275,0.0971
SLC1A5,0.5773,0.4803,0.09700000000000003
TMEM51,0.323,0.226,0.097
COG6,0.2667,0.1698,0.09689999999999999
SH3BGRL,0.2686,0.1718,0.0968
FEN1,0.3512,0.2545,0.09670000000000001
PYCR2,0.3444,0.2477,0.09669999999999998
CEP290,0.0512,-0.0454,0.0966
FAM111B,0.1974,0.1008,0.09659999999999999
IDH3A,0.4013,0.3048,0.09649999999999997
ARMCX1,0.2533,0.1569,0.09640000000000001
MRPS23,0.1631,0.0668,0.0963
ATP6V1E1,0.4815,0.3853,0.09620000000000001
MRPS12,0.2366,0.1406,0.096
DENND1B,0.3545,0.2585,0.09599999999999997
EMC8,0.3725,0.2767,0.0958
TMEM33,0.3721,0.2764,0.09570000000000001
SUOX,0.3284,0.2328,0.09560000000000002
SLC26A6,0.3998,0.3043,0.09549999999999997
FARS2,0.2914,0.1961,0.0953
COPS2,0.1474,0.0521,0.0953
SLC66A2,0.5352,0.44,0.0952
ID1,0.4011,0.306,0.09510000000000002
SDHAF1,0.0129,-0.0821,0.095
PCOLCE2,0.5657,0.4708,0.09489999999999998
