gene,tumor_r,normal_r,delta_r
PTPRU,0.5124,0.3623,0.15009999999999996
TNNT1,0.5766,0.4266,0.15000000000000002
PDCD6,0.5021,0.3522,0.14989999999999998
MIB2,0.0214,-0.1283,0.1497
ERCC5,0.4492,0.2996,0.1496
BRPF3,0.3073,0.1577,0.1496
KIR3DL2,-0.4231,-0.5727,0.1496
SUB1,0.3487,0.1995,0.1492
CDK7,0.3403,0.1913,0.149
MPDZ,0.4299,0.2811,0.1488
NIPSNAP3B,0.1038,-0.045,0.1488
ZNF32,0.1644,0.0157,0.1487
PSMA8,0.0613,-0.0873,0.1486
ARPC1B,0.3884,0.2402,0.14820000000000003
STRA6,0.6382,0.4901,0.1481
ZCCHC8,0.4741,0.3261,0.14800000000000002
RAD1,0.4332,0.2853,0.14789999999999998
RAB3GAP1,0.371,0.2232,0.1478
PPP1R18,0.5935,0.4458,0.14770000000000005
SH2B1,0.1417,-0.0058,0.1475
RPL39,-0.1903,-0.3376,0.14730000000000001
TIPIN,0.3969,0.2497,0.14719999999999997
FADS6,-0.2581,-0.4052,0.1471
IRF1,0.7764,0.6294,0.14700000000000002
IGHG2,0.445,0.2981,0.14690000000000003
VAC14,0.4256,0.2787,0.14689999999999998
FHL5,0.6055,0.4589,0.14660000000000006
RASSF3,0.557,0.4107,0.14630000000000004
CBX3,0.248,0.1019,0.1461
RCOR1,0.518,0.372,0.14600000000000002
IL10RB,0.1028,-0.0431,0.1459
FAM204A,0.0209,-0.125,0.1459
POLR2C,0.1254,-0.0198,0.14520000000000002
PRPF3,0.4387,0.2935,0.1452
TET2,0.1655,0.0203,0.1452
LIN9,0.2583,0.1131,0.14519999999999997
NR2C1,-0.0608,-0.2058,0.14500000000000002
SRP14,0.1067,-0.0381,0.1448
SLTM,0.1691,0.0245,0.1446
ATG3,0.3536,0.2092,0.14440000000000003
SMU1,0.3033,0.1589,0.1444
NIPBL,0.5322,0.3879,0.14429999999999998
SDF2,0.2298,0.0856,0.1442
KANSL2,0.2057,0.0618,0.1439
YAF2,0.148,0.0042,0.14379999999999998
JMJD8,0.3946,0.2508,0.14379999999999998
BTF3,0.3738,0.2301,0.14370000000000002
FCF1,0.0019,-0.1418,0.14370000000000002
SPPL2B,0.352,0.2089,0.14309999999999998
TBCC,0.3056,0.1625,0.14309999999999998
IGKC,0.5402,0.3974,0.14280000000000004
CHST9,0.1491,0.0065,0.1426
EIF4B,0.4425,0.3,0.14250000000000002
MLXIP,0.1511,0.0087,0.14240000000000003
STARD4,0.1739,0.0315,0.1424
PSMF1,0.1802,0.038,0.1422
PIN1,0.3378,0.1958,0.142
RPL31,0.0108,-0.1311,0.1419
AMZ2,0.1787,0.037,0.1417
ROCK2,0.6356,0.494,0.14160000000000006
TFPT,-0.2468,-0.3881,0.1413
